frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
42,0,0.000,0.88,1,0.63,0.18,0.13,0.00,1.41,1.73,0.65,1.41,1.78,2.21,0.21,1.90,0.45,0.39,0.10,0.52,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0,0.000,0.98,1,1.27,0.18,0.13,0.00,1.14,0.95,0.33,1.83,1.49,2.39,0.23,2.38,0.78,0.57,0.30,0.95,0.01,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
44,0,0.000,0.98,1,1.75,0.23,0.10,0.25,0.65,0.00,0.00,2.25,1.19,2.34,0.22,3.21,0.78,0.81,0.30,1.44,0.01,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0,0.000,0.98,1,1.12,0.05,0.00,0.25,0.47,0.40,0.00,1.47,1.25,1.46,0.10,2.22,0.33,0.52,0.39,0.98,0.01,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
46,0,0.000,0.98,1,0.48,0.05,0.00,0.25,0.41,0.85,0.00,0.73,1.31,0.81,0.00,1.31,0.00,0.34,0.31,0.61,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0,0.000,0.98,1,0.00,0.00,0.00,0.00,0.56,1.33,0.00,0.00,1.40,0.58,0.00,0.05,0.00,0.00,0.35,0.23,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0,0.000,0.98,1,0.00,0.00,0.22,0.00,0.77,1.15,0.00,0.00,1.51,0.52,0.00,0.49,0.00,0.00,0.17,0.23,0.04,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0,0.000,0.88,1,0.00,0.00,0.28,0.00,1.04,1.02,0.00,0.00,1.71,0.63,0.00,0.78,0.00,0.00,0.04,0.17,0.15,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0,0.000,0.93,1,0.00,0.00,0.34,0.00,1.29,0.93,0.00,0.00,1.88,0.40,0.00,1.01,0.02,0.07,0.00,0.06,0.15,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0,0.000,0.93,1,0.00,0.00,0.13,0.00,1.53,1.07,0.11,0.40,1.99,0.53,0.00,1.36,0.92,0.35,0.19,0.31,0.11,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
52,0,0.000,0.98,1,0.00,0.00,0.07,0.00,1.76,1.13,0.24,0.81,2.01,0.49,0.00,1.87,1.89,0.66,0.32,0.64,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
