frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
55,0,0.000,0.98,1,0.41,0.00,0.00,0.00,0.99,0.25,0.14,1.48,2.17,1.17,0.86,1.08,0.99,0.29,0.92,0.41,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
56,0,0.000,0.98,1,0.55,0.00,0.00,0.00,0.50,0.00,0.07,1.77,2.20,1.38,1.19,0.29,0.00,0.00,1.09,0.31,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,0,0.000,0.98,1,0.84,0.00,0.47,0.00,0.60,1.13,0.29,1.54,1.62,1.39,0.97,0.07,0.00,0.00,0.65,0.16,0.62,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,0,0.000,0.82,1,0.98,0.00,1.08,0.00,0.75,2.41,0.78,1.23,0.97,1.21,0.53,0.01,0.00,0.00,0.34,0.10,1.31,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,0,0.000,0.98,1,0.84,0.00,1.66,0.00,1.57,2.87,0.97,1.22,1.00,1.33,0.20,0.00,0.06,0.00,0.64,0.03,1.31,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,0,0.000,0.98,1,0.88,0.38,1.19,0.15,2.01,1.74,0.69,1.80,2.01,1.63,0.17,0.61,0.06,0.43,1.09,0.03,0.69,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0,0.000,0.98,1,1.00,0.80,0.58,0.21,2.45,0.46,0.19,2.50,3.16,1.70,0.47,1.27,0.06,0.88,1.37,0.03,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,0,0.000,0.98,1,1.45,1.09,0.00,0.28,2.22,0.12,0.00,2.74,3.63,1.63,0.63,1.93,0.00,1.37,1.04,0.07,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,0,0.000,0.98,1,1.22,1.00,0.55,0.36,1.72,0.12,0.08,2.16,3.18,1.29,0.46,1.32,0.00,0.94,0.86,0.07,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,0,0.000,0.88,1,0.85,0.76,1.01,0.46,1.24,0.12,0.14,1.40,2.63,1.20,0.16,0.67,0.00,0.48,0.72,0.07,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
65,0,0.000,0.88,1,0.56,0.51,1.55,0.60,0.68,0.00,0.22,0.71,2.05,1.04,0.00,0.00,0.00,0.00,0.57,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,0,0.000,0.88,1,0.30,0.22,1.00,0.37,0.92,0.00,0.14,0.83,2.13,1.63,0.00,0.24,0.00,0.01,0.30,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,0,0.000,0.93,1,0.16,0.04,0.54,0.20,1.25,0.00,0.07,1.17,2.27,1.94,0.00,0.47,0.00,0.15,0.16,0.00,0.04,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
