frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,kmeans_cluster,dbscan_cluster,pc1,pc2
60,0,0.0,0.98,1,0.93,0.47,1.24,0.08,2.1,1.82,0.73,1.91,2.07,1.64,0.11,0.61,0.05,0.44,1.06,0.15,0.59,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1,1.631338529351627,1.8806964033357414
61,0,0.0,0.98,1,1.11,0.97,0.58,0.08,2.45,0.46,0.21,2.5,3.16,1.7,0.35,1.27,0.05,0.91,1.32,0.15,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,0.7304657232746559,3.6416675796384186
62,0,0.0,0.98,1,1.59,1.35,0.0,0.08,2.22,0.12,0.0,2.74,3.63,1.63,0.45,1.93,0.0,1.41,0.99,0.18,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-0.4435219767230029,4.527280926641018
63,0,0.0,0.98,1,1.06,0.88,0.0,0.0,1.53,0.53,0.0,2.04,2.66,1.27,0.39,1.91,0.09,0.97,0.66,1.11,0.61,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4,-1,-0.6565542432582614,2.2212528557912687
64,0,0.0,0.88,1,0.51,0.38,0.02,0.0,0.79,0.92,0.0,1.23,1.58,0.88,0.18,1.72,0.15,0.5,0.46,2.08,1.31,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1,-0.8475747087058649,-0.2608258153340198
65,0,0.0,0.88,1,0.08,0.0,0.08,0.0,0.02,1.23,0.0,0.44,0.49,0.57,0.24,1.53,0.26,0.0,0.26,2.9,1.89,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1,-1.3380336371872028,-2.423532957569596
66,0,0.0,0.88,1,0.17,0.0,0.08,0.0,0.57,1.43,0.02,0.47,1.05,0.89,0.19,1.37,0.17,0.0,0.72,2.28,1.44,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1,-0.45155145416926823,-1.7020531977965012
67,0,0.0,0.98,1,0.17,0.0,0.91,0.0,0.62,1.04,0.1,0.35,1.15,1.12,0.55,2.07,0.4,0.51,0.66,1.32,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,-1,-1.2221256556553501,-0.6943484424575835
68,0,0.0,0.98,1,0.25,0.0,0.85,0.0,1.12,1.46,0.14,0.46,1.58,1.29,0.38,2.05,0.29,0.51,0.99,0.7,0.28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1,-0.3730915307095897,-0.13578898616807192
69,0,0.0,0.98,1,0.15,0.0,0.95,0.0,1.39,1.43,0.22,1.07,1.54,1.29,0.5,2.31,0.64,0.51,1.23,0.69,0.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.06480636125786447,0.669437678032124
70,0,0.0,0.98,1,0.15,0.0,0.1,0.0,2.11,1.88,0.16,1.84,2.02,1.56,0.35,1.91,0.61,0.0,1.8,0.82,0.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1,1.6762808700247922,1.3114898661234622
71,0,0.0,0.98,1,0.0,0.0,0.18,0.0,2.49,1.65,0.14,2.46,2.15,1.69,0.46,2.04,0.96,0.0,2.11,0.92,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,-1,2.1412697309915356,2.1997093017625464
72,0,0.0,0.98,1,0.0,0.0,0.09,0.0,1.83,1.37,0.05,2.05,2.52,1.82,0.34,1.42,0.61,0.0,1.31,0.71,0.57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,-1,1.9107940298561414,1.152842219347872
73,0,0.0,0.98,1,0.0,0.0,0.09,0.0,1.27,0.92,0.02,1.76,2.89,1.74,0.11,0.67,0.34,0.0,0.83,0.58,0.57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,-1,1.7388345865855377,0.239327404017135
